Задача: 1 | Файл: test1.txt | Ошибка: Исполняемый файл ./a01.out не найден
Задача: 7 | Файл: test3.txt | Ошибка: Исполняемый файл ./a07.out не найден
Задача: 7 | Файл: test4.txt | Ошибка: Исполняемый файл ./a07.out не найден
Задача: 7 | Файл: test5.txt | Ошибка: Исполняемый файл ./a07.out не найден
Задача: 7 | Файл: test6.txt | Ошибка: Исполняемый файл ./a07.out не найден
Задача: 7 | Файл: test7.txt | Ошибка: Исполняемый файл ./a07.out не найден
Задача: 7 | Файл: test8.txt | Ошибка: Исполняемый файл ./a07.out не найден
Задача: 8 | Файл: test1.txt | Ошибка: Исполняемый файл ./a08.out не найден
Задача: 8 | Файл: test2.txt | Ошибка: Исполняемый файл ./a08.out не найден
Задача: 8 | Файл: test3.txt | Ошибка: Исполняемый файл ./a08.out не найден
Задача: 8 | Файл: test4.txt | Ошибка: Исполняемый файл ./a08.out не найден
Задача: 8 | Файл: test5.txt | Ошибка: Исполняемый файл ./a08.out не найден
Задача: 8 | Файл: test6.txt | Ошибка: Исполняемый файл ./a08.out не найден
Задача: 8 | Файл: test7.txt | Ошибка: Исполняемый файл ./a08.out не найден
Задача: 8 | Файл: test8.txt | Ошибка: Исполняемый файл ./a08.out не найден
Задача: 9 | Файл: test1.txt | Ошибка: Исполняемый файл ./a09.out не найден
Задача: 9 | Файл: test2.txt | Ошибка: Исполняемый файл ./a09.out не найден
Задача: 9 | Файл: test3.txt | Ошибка: Исполняемый файл ./a09.out не найден
Задача: 9 | Файл: test4.txt | Ошибка: Исполняемый файл ./a09.out не найден
Задача: 9 | Файл: test5.txt | Ошибка: Исполняемый файл ./a09.out не найден
Задача: 9 | Файл: test6.txt | Ошибка: Исполняемый файл ./a09.out не найден
Задача: 9 | Файл: test7.txt | Ошибка: Исполняемый файл ./a09.out не найден
Задача: 9 | Файл: test8.txt | Ошибка: Исполняемый файл ./a09.out не найден
Задача: 10 | Файл: test1.txt | Ошибка: Исполняемый файл ./a10.out не найден
Задача: 10 | Файл: test2.txt | Ошибка: Исполняемый файл ./a10.out не найден
Задача: 10 | Файл: test3.txt | Ошибка: Исполняемый файл ./a10.out не найден
Задача: 10 | Файл: test4.txt | Ошибка: Исполняемый файл ./a10.out не найден
Задача: 10 | Файл: test5.txt | Ошибка: Исполняемый файл ./a10.out не найден
Задача: 10 | Файл: test6.txt | Ошибка: Исполняемый файл ./a10.out не найден
Задача: 10 | Файл: test7.txt | Ошибка: Исполняемый файл ./a10.out не найден
Задача: 10 | Файл: test8.txt | Ошибка: Исполняемый файл ./a10.out не найден
